School Name,Type,City,State
Sri Swami Chinna Jeeyar International School,INTERNATIONAL,HYDERABAD,Telangana
The International School Of Hyderabad,INTERNATIONAL,HYDERABAD,Telangana
Bharathi School,PRIVATE,HYDERABAD,Telangana
Bharathi School,PRIVATE,HYDERABAD,Telangana
Dharamavant Junior College,PRIVATE,HYDERABAD,Telangana
Mukarram Jah School,PRIVATE,HYDERABAD,Telangana
My Home Educational Society,PRIVATE,HYDERABAD,Telangana
Sister Nivedita School,PRIVATE,HYDERABAD,Telangana
Sri Vani High School,PRIVATE,HYDERABAD,Telangana
St. Joseph's High School,PRIVATE,HYDERABAD,Telangana
St. Joseph's Public School,PRIVATE,HYDERABAD,Telangana
Vidyaranya High School For Boys & Girls,PRIVATE,HYDERABAD,Telangana
Orchids International School,INTERNATIONAL,HYDERABAD,Telangana
International School Of Hyderabad,INTERNATIONAL,HYDERABAD,Telangana
Hyderabad Public School,PUBLIC,HYDERABAD,Telangana
Hyderabad Public School,BOARDING,HYDERABAD,Telangana
"Ivy Leagueacademy,",BOARDING,HYDERABAD,Telangana
"Sri Sai Public School,",BOARDING,HYDERABAD,Telangana
Thehyderabad Public School,BOARDING,HYDERABAD,Telangana
The Hyderabad Public School,ICSE,HYDERABAD,Telangana
St. George's Grammar School,ICSE,HYDERABAD,Telangana
St. George's Girls' Grammar School,ICSE,HYDERABAD,Telangana
Vidyaranya High School For Boys & Girls,ICSE,HYDERABAD,Telangana
Nalanda Public School,ICSE,HYDERABAD,Telangana
Nasr School,ICSE,HYDERABAD,Telangana
St. Joseph's Public School,ICSE,HYDERABAD,Telangana
Sri Sai Public School,ICSE,HYDERABAD,Telangana
Seventh Day Adventist High School,ICSE,HYDERABAD,Telangana
Johnson Grammar School,ICSE,HYDERABAD,Telangana
St. Martin's High School,ICSE,HYDERABAD,Telangana
Gitanjali School,ICSE,HYDERABAD,Telangana
Niraj Public School,ICSE,HYDERABAD,Telangana
St. Ann's High School,ICSE,HYDERABAD,Telangana
Siva Sivani Public School,ICSE,HYDERABAD,Telangana
Sherwood Public School,ICSE,HYDERABAD,Telangana
Mukarram Jah School,ICSE,HYDERABAD,Telangana
Samaritan School,ICSE,HYDERABAD,Telangana
International School,ICSE,HYDERABAD,Telangana
The Noble School,ICSE,HYDERABAD,Telangana
Chaitanya Vidyalaya,ICSE,HYDERABAD,Telangana
Kalpa School,ICSE,HYDERABAD,Telangana
St. Theresa School,ICSE,HYDERABAD,Telangana
Princess Esin Girls' School,ICSE,HYDERABAD,Telangana
Gitanjali Devshala,ICSE,HYDERABAD,Telangana
Nasr School Boys,ICSE,HYDERABAD,Telangana
Sri Aurobindo International School,ICSE,HYDERABAD,Telangana
Al Madrasa Tus Saifiya Tul Burhaniyah,ICSE,HYDERABAD,Telangana
Pranava The School,ICSE,HYDERABAD,Telangana
St. Joseph's School,ICSE,HYDERABAD,Telangana
St. Joseph's School,ICSE,HYDERABAD,Telangana
Ramadevi Public School,ICSE,HYDERABAD,Telangana
The Future Kid's School,ICSE,HYDERABAD,Telangana
Blossoms International Play School,PRE,HYDERABAD,Telangana
PREMA VIJAYAN HIGH SCHOOL,PRIVATE,HYDERABAD,Telangana
Daffodils High School,PRE,HYDERABAD,Telangana
Kalyani International School,ICSE,HYDERABAD,Telangana
